|objName|objID|raMean|decMean|raMeanErr|decMeanErr|epochMean|nStackDetections|nDetections|ng|nr|ni|nz|ny|gQfPerfect|gMeanPSFMag|gMeanPSFMagErr|gMeanPSFMagStd|gMeanPSFMagNpt|gMeanPSFMagMin|gMeanPSFMagMax|gFlags|rQfPerfect|rMeanPSFMag|rMeanPSFMagErr|rMeanPSFMagStd|rMeanPSFMagNpt|rMeanPSFMagMin|rMeanPSFMagMax|rFlags|iQfPerfect|iMeanPSFMag|iMeanPSFMagErr|iMeanPSFMagStd|iMeanPSFMagNpt|iMeanPSFMagMin|iMeanPSFMagMax|iFlags|zQfPerfect|zMeanPSFMag|zMeanPSFMagErr|zMeanPSFMagStd|zMeanPSFMagNpt|zMeanPSFMagMin|zMeanPSFMagMax|zFlags|yQfPerfect|yMeanPSFMag|yMeanPSFMagErr|yMeanPSFMagStd|yMeanPSFMagNpt|yMeanPSFMagMin|yMeanPSFMagMax|yFlags|Rmag
145|PSO J250.5288+39.8586|155832505287640896|250.52875212|39.85858603|0.004430000204592943|0.008589999750256537|55938.60144676|10|100|20|19|26|21|14|0.9994400143623352|15.521400451660154|0.003224000101909041|0.010885000228881836|13|15.503700256347654|15.54300022125244|115000|0.9997169971466064|14.841500282287598|0.003386999946087599|0.015139999799430369|15|14.816499710083008|14.86340045928955|115000|0.9995539784431458|14.564800262451172|0.0019099999917671087|0.008620999753475191|15|14.547100067138672|14.570699691772461|115000|0.9993789792060852|14.444100379943848|0.0019580000080168247|0.007925000041723251|15|14.434499740600586|14.457200050354006|115000|0.9992889761924744|14.349499702453613|0.0088900001719594|0.02323099970817566|9|14.321900367736815|14.38510036468506|115000|14.616361156463622
866|PSO J250.6772+39.9516|155942506772152579|250.67722765|39.95162226|0.01401999965310097|0.009399999864399431|56019.14243056|5|101|21|17|33|13|17|0.9996880292892456|14.309900283813475|0.0031530000269412994|0.011195999570190908|13|14.29290008544922|14.325900077819824|115000|0.9996659755706788|13.928099632263185|0.002060000086203217|0.004676000215113163|8|13.92039966583252|13.932100296020508|115000|0.9993500113487244|13.824799537658693|0.003102000104263425|0.0150579996407032|13|13.807000160217285|13.854100227355955|115000|0.998889982700348|13.802800178527832|0.0020779999904334545|0.007207000162452459|10|13.7947998046875|13.815899848937988|115000|0.9995869994163512|13.804699897766113|0.004228999838232994|0.015721000730991364|11|13.77280044555664|13.824299812316895|115000|13.760862852573398
1360|PSO J250.8225+39.6075|155522508225179682|250.82249484|39.6075406|0.00227000005543232|0.005450000055134296|56790.08767361|10|88|15|16|29|13|15|0.9990770220756532|14.967700004577635|0.001597000053152442|0.007269999943673611|11|14.956000328063965|14.981200218200685|115000|0.9996860027313232|14.592100143432615|0.003660999936982989|0.011505000293254852|13|14.573800086975098|14.60789966583252|115000|0.9995329976081848|14.458700180053713|0.0020649998914450407|0.007826999761164187|20|14.444299697875975|14.470999717712402|115000|0.9994670152664183|14.44909954071045|0.0025619999505579467|0.008346999995410442|11|14.438300132751465|14.461700439453125|115000|0.9992660284042358|14.42870044708252|0.00532800005748868|0.01491499971598387|14|14.405099868774414|14.453499794006348|115000|14.426002448940276
1774|PSO J250.7521+39.7575|155702507521069618|250.75212335|39.75749573|0.00215999991632998|0.0024000001139938827|55913.1333912|5|103|15|20|34|17|17|0.999675989151001|13.7923002243042|0.001227000029757619|0.0024639999028295283|4|13.789600372314453|13.795499801635742|115000|0.9996169805526732|13.843199729919435|0.0023990001063793893|0.004803999792784453|8|13.835800170898438|13.84969997406006|115000|0.99992698431015|13.927300453186035|0.001269000000320375|0.006262000184506178|18|13.914400100708008|13.935799598693848|115000|0.99965500831604|13.995400428771973|0.00216299993917346|0.00740899983793497|12|13.980600357055664|14.002900123596193|115000|0.9991599917411804|14.001700401306152|0.004801000002771616|0.01823499985039234|17|13.96269989013672|14.025899887084961|115000|13.755449969100955
2810|PSO J250.5749+39.8554|155822505750607068|250.57485244|39.8553777|0.4751200079917908|0.19207000732421875|55339.68414352|5|82|15|9|28|17|13|-999.0|12.003000259399414|-999.0|-999.0|0|-999.0|-999.0|245860|-999.0|11.628000259399414|-999.0|-999.0|0|-999.0|-999.0|245860|-999.0|11.470000267028807|-999.0|-999.0|0|-999.0|-999.0|245860|-999.0|11.392000198364258|-999.0|-999.0|0|-999.0|-999.0|147556|-999.0|11.368000030517578|-999.0|-999.0|0|-999.0|-999.0|114788|11.462012759399414
3449|PSO J250.5782+39.9126|155892505778425732|250.57816206|39.91258602|0.033629998564720154|0.033629998564720154|56457.37803241|0|3|0|1|2|0|0|-999.0|-999.0|-999.0|-999.0|0|-999.0|-999.0|0|0.9184669852256776|13.625499725341795|0.001000000047497451|-999.0|1|13.625499725341795|13.625499725341795|16778256|0.6217439770698547|13.593000411987305|-999.0|1.5760899782180786|2|12.478500366210938|14.707500457763672|24|-999.0|-999.0|-999.0|-999.0|0|-999.0|-999.0|0|-999.0|-999.0|-999.0|-999.0|0|-999.0|-999.0|0|13.472057926940916
3454|PSO J250.5784+39.9121|155892505781925366|250.57843531|39.91211884|0.2334000021219253|0.2334000021219253|56822.46185185|0|13|2|1|7|1|2|0.06572099775075912|12.325799942016602|0.04983799904584885|0.07048200070858003|2|12.276000022888185|12.37559986114502|16|0.2663620114326477|12.348400115966795|0.001000000047497451|-999.0|1|12.348400115966795|12.348400115966795|16|0.44728699326515203|11.03849983215332|0.012751000002026558|0.03519900143146515|6|10.996000289916992|11.091500282287598|24|0.04994099959731102|10.990699768066406|0.001000000047497451|-999.0|1|10.990699768066406|10.990699768066406|24|0.3861069977283478|11.7322998046875|0.028599999845027924|0.04044599831104279|2|11.703700065612793|11.760899543762207|24|12.255451767921446
3457|PSO J250.5784+39.9121|155892505784695066|250.57843275|39.91205885|0.04163999855518341|0.04163999855518341|52254.40054398|5|81|16|17|19|16|13|-999.0|11.350000381469727|-999.0|-999.0|0|-999.0|-999.0|147556|-999.0|11.10200023651123|-999.0|-999.0|0|-999.0|-999.0|147556|-999.0|11.053000450134276|-999.0|-999.0|0|-999.0|-999.0|147556|-999.0|11.071000099182127|-999.0|-999.0|0|-999.0|-999.0|114788|-999.0|11.088000297546387|-999.0|-999.0|0|-999.0|-999.0|114788|10.959342609882356
4909|PSO J250.9638+39.8218|155782509638906837|250.96382305|39.82180558|0.06255999952554703|0.08167999982833862|56778.93024306|5|109|17|20|36|17|19|0.9997050166130066|14.749500274658205|0.0055359997786581525|0.024891000241041183|11|14.716099739074707|14.79930019378662|16892216|0.9996929764747621|14.535799980163574|0.03541500121355057|0.08525499701499939|12|14.434300422668455|14.69480037689209|16892216|0.9998289942741394|14.308600425720215|0.014395000413060188|0.0773480013012886|19|14.203200340270994|14.455300331115724|16892216|0.9996089935302734|14.421600341796875|0.015975000336766243|0.05371600016951561|12|14.33899974822998|14.476099967956545|16892216|0.9997360110282898|14.377799987792967|0.010289999656379223|0.02853699959814548|13|14.317500114440918|14.427300453186035|16892216|14.399443236064911
5693|PSO J251.0241+39.8382|155802510238856348|251.02408894|39.8382262|0.02198999933898449|0.02198999933898449|56405.38177083|0|3|0|1|2|0|0|-999.0|-999.0|-999.0|-999.0|0|-999.0|-999.0|0|0.8760740160942078|14.07409954071045|0.001000000047497451|-999.0|1|14.07409954071045|14.07409954071045|16778256|0.062199998646974564|13.014300346374512|0.001000000047497451|-999.0|1|13.014300346374512|13.014300346374512|16778264|-999.0|-999.0|-999.0|-999.0|0|-999.0|-999.0|0|-999.0|-999.0|-999.0|-999.0|0|-999.0|-999.0|0|13.619042497253417
